Quarter,Link,Date,Bank of New York Mellon,Bank of America,BB_T Corporation,Capital One,Citigroup,Fifth Third Bancorp,Goldman Sachs,JP Morgan Chase,KeyCorp,Morgan Stanley,"PNC, State Street",Sun Trust,Regions Financial,U.S. Bancorp,Wells Fargo
2007Q1,https://www.reuters.com/resources/archive/us/20070330.html,2007Month03,,,,,,,,,,,,,,,
2007Q1,https://www.reuters.com/resources/archive/us/20070331.html,2007Month03,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070401.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070402.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070403.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070404.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070405.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070406.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070407.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070408.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070409.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070410.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070411.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070412.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070413.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070414.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070415.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070416.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070417.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070418.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070419.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070420.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070421.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070422.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070423.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070424.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070425.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070426.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070427.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070428.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070429.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070430.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070431.html,2007Month04,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070501.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070502.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070503.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070504.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070505.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070506.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070507.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070508.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070509.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070510.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070511.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070512.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070513.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070514.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070515.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070516.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070517.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070518.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070519.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070520.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070521.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070522.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070523.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070524.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070525.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070526.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070527.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070528.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070529.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070530.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070531.html,2007Month05,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070601.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070602.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070603.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070604.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070605.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070606.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070607.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070608.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070609.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070610.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070611.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070612.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070613.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070614.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070615.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070616.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070617.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070618.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070619.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070620.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070621.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070622.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070623.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070624.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070625.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070626.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070627.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070628.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070629.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070630.html,2007Month06,,,,,,,,,,,,,,,
2007Q2,https://www.reuters.com/resources/archive/us/20070631.html,2007Month06,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070701.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070702.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070703.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070704.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070705.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070706.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070707.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070708.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070709.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070710.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070711.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070712.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070713.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070714.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070715.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070716.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070717.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070718.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070719.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070720.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070721.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070722.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070723.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070724.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070725.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070726.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070727.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070728.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070729.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070730.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070731.html,2007Month07,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070801.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070802.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070803.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070804.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070805.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070806.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070807.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070808.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070809.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070810.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070811.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070812.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070813.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070814.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070815.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070816.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070817.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070818.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070819.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070820.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070821.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070822.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070823.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070824.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070825.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070826.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070827.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070828.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070829.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070830.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070831.html,2007Month08,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070901.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070902.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070903.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070904.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070905.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070906.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070907.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070908.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070909.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070910.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070911.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070912.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070913.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070914.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070915.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070916.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070917.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070918.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070919.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070920.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070921.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070922.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070923.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070924.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070925.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070926.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070927.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070928.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070929.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070930.html,2007Month09,,,,,,,,,,,,,,,
2007Q3,https://www.reuters.com/resources/archive/us/20070931.html,2007Month09,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071001.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071002.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071003.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071004.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071005.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071006.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071007.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071008.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071009.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071010.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071011.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071012.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071013.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071014.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071015.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071016.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071017.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071018.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071019.html,2007Month10,,,,,,,,,,,,,,,
2007Q4,https://www.reuters.com/resources/archive/us/20071020.html,2007Month10,,,,,,,,,,,,,,,
